ID, DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
1, 05-07-2023 12:00:00, ON, Stop1, Company1, Bus1, 5112010000000003
2, 05-07-2023 12:02:00, OFF, Stop2, BigBusCo, Bus42, 4457010000000009
3, 05-07-2023 12:08:00, OFF, Stop3, Company1, Bus1, 5112010000000003
4, 05-07-2023 14:20:00, OFF, Stop2, BigBusCo, Bus8, 4457010000000009
5, 05-07-2023 14:16:00, ON, Stop3, BigBusCo, Bus8, 4457010000000009
6, 05-07-2023 19:40:00, ON, Stop2, Company1, Bus4, 4457010000000009
7, 05-07-2023 19:40:07, OFF, Stop1, Company1, Bus4, 6011010100000002
8, 05-07-2023 19:40:02, ON, Stop1, Company1, Bus4, 6011010100000002
9, 05-07-2023 23:59:00, ON, Stop1, BigBusCo, Bus69, 6011010100000002
10, 06-07-2023 00:06:04, OFF, Stop1, BigBusCo, Bus69, 6011010100000002
11, 06-07-2023 10:00:00, ON, Stop1, Company1, Bus4, 4457010000000009
12, 06-07-2023 09:00:00, ON, Stop3, Company1, Bus99, 5112010000000003
13, 06-07-2023 09:04:20, OFF, Stop2, Company1, Bus99, 5112010000000003
14, 06-07-2023 11:00:00, ON, Stop3, BigBusCo, Bus43, 4457010000000009
15, 06-07-2023 11:10:05, OFF, Stop1, BigBusCo, Bus43, 4457010000000009
16, 06-07-2023 12:01:07, ON, Stop1, BigBusCo, Bus8, 6011010100000002
17, 06-07-2023 12:03:20, OFF, Stop1, BigBusCo, Bus8, 6011010100000002
